store,operation,on_count,off_count,on_mean_sec,off_mean_sec,mean_delta_sec,mean_delta_pct,on_median_sec,off_median_sec,median_delta_sec,median_delta_pct
KNOT_DNS,total_flow,30,30,2.717059,2.807713,-0.090654,-3.228762,2.858187,3.069024,-0.210837,-6.869830
KNOT_DNS,publish_scenario_total,30,30,2.465479,2.407604,0.057876,2.403874,2.588230,2.679317,-0.091087,-3.399621
KNOT_DNS,discovery_scenario_total,30,30,0.040291,0.080288,-0.039997,-49.816806,0.040305,0.078368,-0.038063,-48.569077
KNOT_DNS,idap_scenario_total,30,30,0.136580,0.221779,-0.085198,-38.415890,0.143659,0.220230,-0.076572,-34.768860
KNOT_DNS,tampering_scenario_total,30,30,0.061609,0.088422,-0.026812,-30.323269,0.062469,0.088186,-0.025716,-29.161545
KNOT_DNS,dns_txt_update,240,240,0.307024,0.299748,0.007276,2.427220,0.171654,0.169310,0.002343,1.384096
KNOT_DNS,broker_discovery,30,30,0.040291,0.080288,-0.039997,-49.816806,0.040305,0.078368,-0.038063,-48.569077
KNOT_DNS,crypto_scenario_total,30,30,0.000059,0.000033,0.000027,81.305016,0.000056,0.000032,0.000024,75.966944
KNOT_DNS,dap_create_capability,30,30,0.001218,0.000894,0.000324,36.188700,0.001183,0.000869,0.000314,36.165836
KNOT_DNS,dap_encrypt_enc_cap,30,30,0.001214,0.000623,0.000591,94.736260,0.001137,0.000590,0.000547,92.758900
KNOT_DNS,dap_scenario_total,30,30,0.002432,0.001518,0.000914,60.233651,0.002330,0.001486,0.000844,56.768929
KNOT_DNS,decrypt_message,30,30,0.000016,0.000007,0.000008,116.289760,0.000014,0.000006,0.000008,116.082442
KNOT_DNS,encrypt_message,30,30,0.000044,0.000026,0.000018,71.406279,0.000042,0.000025,0.000017,70.001831
KNOT_DNS,idap_authorize,30,30,0.062987,0.104338,-0.041350,-39.631400,0.062423,0.102885,-0.040462,-39.327451
KNOT_DNS,idap_replay_check,30,30,0.057502,0.094202,-0.036699,-38.958184,0.059342,0.093377,-0.034035,-36.448668
KNOT_DNS,initialize_store,30,30,0.000004,0.000004,0.000000,4.439737,0.000004,0.000004,0.000000,7.017587
KNOT_DNS,publish_identity_c1,30,30,0.461339,0.342877,0.118462,34.549440,0.176371,0.171133,0.005238,3.060923
KNOT_DNS,publish_identity_cp,30,30,0.526059,0.505329,0.020730,4.102240,0.558636,0.655304,-0.096668,-14.751647
KNOT_DNS,publish_identity_s1,30,30,0.285411,0.314993,-0.029582,-9.391462,0.171502,0.171059,0.000443,0.258901
KNOT_DNS,publish_identity_sp,30,30,0.206169,0.171797,0.034373,20.007760,0.176802,0.174696,0.002106,1.205513
KNOT_DNS,publish_provider_registry,30,30,0.560560,0.536624,0.023935,4.460342,0.335672,0.345968,-0.010296,-2.975874
KNOT_DNS,publish_service_metadata,30,30,0.425942,0.535983,-0.110042,-20.530777,0.341062,0.336840,0.004222,1.253526
KNOT_DNS,resolve_service_public_key,30,30,0.014318,0.022360,-0.008042,-35.965754,0.014271,0.022431,-0.008160,-36.377601
KNOT_DNS,startup_scenario_total,30,30,0.003069,0.002752,0.000317,11.508688,0.002676,0.002747,-0.000071,-2.601681
KNOT_DNS,tampered_request_sign,30,30,0.000479,0.000194,0.000285,147.263595,0.000516,0.000194,0.000322,165.946625
KNOT_DNS,tampering_check,30,30,0.061130,0.088228,-0.027098,-30.713130,0.061966,0.088004,-0.026038,-29.586992
DNSLINK_IPFS,total_flow,30,30,2.119621,2.249889,-0.130268,-5.789958,2.222564,2.354050,-0.131486,-5.585517
DNSLINK_IPFS,publish_scenario_total,30,30,1.889752,1.839593,0.050160,2.726669,1.987443,1.946370,0.041073,2.110246
DNSLINK_IPFS,discovery_scenario_total,30,30,0.034546,0.069174,-0.034627,-50.058583,0.032320,0.069586,-0.037266,-53.553505
DNSLINK_IPFS,idap_scenario_total,30,30,0.128317,0.238909,-0.110592,-46.290406,0.121878,0.236256,-0.114378,-48.412754
DNSLINK_IPFS,tampering_scenario_total,30,30,0.057596,0.094107,-0.036512,-38.797891,0.053684,0.092997,-0.039312,-42.272947
DNSLINK_IPFS,dns_txt_update,180,180,0.290691,0.283300,0.007391,2.608992,0.168537,0.163780,0.004757,2.904232
DNSLINK_IPFS,ipfs_add_json,180,180,0.022920,0.022039,0.000881,3.998597,0.022258,0.021757,0.000501,2.300968
DNSLINK_IPFS,ipfs_cat_json,450,450,0.001784,0.001644,0.000140,8.521250,0.001643,0.001590,0.000053,3.356477
DNSLINK_IPFS,broker_discovery,30,30,0.034546,0.069174,-0.034627,-50.058583,0.032320,0.069586,-0.037266,-53.553505
DNSLINK_IPFS,crypto_scenario_total,30,30,0.000048,0.000031,0.000016,52.084006,0.000040,0.000031,0.000009,30.243578
DNSLINK_IPFS,dap_create_capability,30,30,0.000862,0.000790,0.000072,9.073387,0.000752,0.000786,-0.000033,-4.239804
DNSLINK_IPFS,dap_encrypt_enc_cap,30,30,0.000975,0.000565,0.000411,72.724043,0.000777,0.000542,0.000235,43.252237
DNSLINK_IPFS,dap_scenario_total,30,30,0.001837,0.001355,0.000482,35.601695,0.001515,0.001336,0.000179,13.424457
DNSLINK_IPFS,decrypt_message,30,30,0.000013,0.000007,0.000006,97.511413,0.000011,0.000006,0.000005,79.872858
DNSLINK_IPFS,encrypt_message,30,30,0.000035,0.000025,0.000010,39.971132,0.000029,0.000024,0.000005,22.107573
DNSLINK_IPFS,idap_authorize,30,30,0.056671,0.110833,-0.054162,-48.868077,0.054498,0.109380,-0.054882,-50.175659
DNSLINK_IPFS,idap_replay_check,30,30,0.055640,0.102648,-0.047007,-45.794874,0.052704,0.101372,-0.048668,-48.009141
DNSLINK_IPFS,initialize_store,30,30,0.000004,0.000005,-0.000000,-3.917178,0.000005,0.000004,0.000000,1.401984
DNSLINK_IPFS,publish_identity_c1,30,30,0.386384,0.330746,0.055637,16.821697,0.191806,0.195403,-0.003597,-1.840621
DNSLINK_IPFS,publish_identity_cp,30,30,0.432275,0.423711,0.008564,2.021131,0.551723,0.189723,0.362000,190.805114
DNSLINK_IPFS,publish_identity_s1,30,30,0.505256,0.331857,0.173399,52.251192,0.207377,0.191780,0.015597,8.132552
DNSLINK_IPFS,publish_identity_sp,30,30,0.187026,0.386782,-0.199756,-51.645647,0.191585,0.196747,-0.005163,-2.623978
DNSLINK_IPFS,publish_provider_registry,30,30,0.186705,0.184450,0.002255,1.222668,0.186033,0.184319,0.001715,0.930249
DNSLINK_IPFS,publish_service_metadata,30,30,0.192107,0.182046,0.010061,5.526365,0.192196,0.181214,0.010982,6.060100
DNSLINK_IPFS,resolve_service_public_key,30,30,0.014597,0.024576,-0.009979,-40.605417,0.013620,0.024216,-0.010596,-43.755507
DNSLINK_IPFS,startup_scenario_total,30,30,0.002672,0.002918,-0.000245,-8.412630,0.002652,0.002801,-0.000149,-5.304422
DNSLINK_IPFS,tampered_request_sign,30,30,0.000379,0.000200,0.000179,89.451925,0.000371,0.000198,0.000173,87.171483
DNSLINK_IPFS,tampering_check,30,30,0.057217,0.093907,-0.036691,-39.071086,0.053247,0.092792,-0.039545,-42.616701
