backend,operation,count,mean_sec,median_sec,std_sec,min_sec,max_sec
DNSLINK_IPFS_DNSSEC_OFF,broker_discovery,30,0.069174,0.069586,0.009709,0.051387,0.087969
DNSLINK_IPFS_DNSSEC_OFF,canonical_request_payload,30,0.000016,0.000014,0.000008,0.000011,0.000055
DNSLINK_IPFS_DNSSEC_OFF,client_ephemeral_public_key,30,0.000004,0.000003,0.000003,0.000002,0.000018
DNSLINK_IPFS_DNSSEC_OFF,client_request_sign,30,0.000220,0.000218,0.000024,0.000190,0.000275
DNSLINK_IPFS_DNSSEC_OFF,client_session_init,30,0.000117,0.000110,0.000040,0.000092,0.000314
DNSLINK_IPFS_DNSSEC_OFF,client_session_key_derivation,30,0.000029,0.000029,0.000004,0.000024,0.000042
DNSLINK_IPFS_DNSSEC_OFF,client_shared_secret_derivation,30,0.000169,0.000170,0.000009,0.000154,0.000198
DNSLINK_IPFS_DNSSEC_OFF,compute_transcript,30,0.000034,0.000032,0.000007,0.000028,0.000067
DNSLINK_IPFS_DNSSEC_OFF,crypto_scenario_total,30,0.000031,0.000031,0.000003,0.000026,0.000041
DNSLINK_IPFS_DNSSEC_OFF,dap_create_capability,30,0.000790,0.000786,0.000096,0.000640,0.000990
DNSLINK_IPFS_DNSSEC_OFF,dap_encrypt_enc_cap,30,0.000565,0.000542,0.000084,0.000466,0.000796
DNSLINK_IPFS_DNSSEC_OFF,dap_scenario_total,30,0.001355,0.001336,0.000154,0.001129,0.001625
DNSLINK_IPFS_DNSSEC_OFF,decrypt_message,30,0.000007,0.000006,0.000001,0.000006,0.000010
DNSLINK_IPFS_DNSSEC_OFF,discovery_scenario_total,30,0.069174,0.069586,0.009709,0.051387,0.087969
DNSLINK_IPFS_DNSSEC_OFF,encrypt_message,30,0.000025,0.000024,0.000003,0.000020,0.000034
DNSLINK_IPFS_DNSSEC_OFF,generate_identity_c1,30,0.000180,0.000182,0.000007,0.000167,0.000195
DNSLINK_IPFS_DNSSEC_OFF,generate_identity_cp,30,0.002367,0.002255,0.000538,0.002073,0.005162
DNSLINK_IPFS_DNSSEC_OFF,generate_identity_s1,30,0.000178,0.000180,0.000006,0.000167,0.000193
DNSLINK_IPFS_DNSSEC_OFF,generate_identity_sp,30,0.000188,0.000190,0.000012,0.000172,0.000226
DNSLINK_IPFS_DNSSEC_OFF,idap_authorize,30,0.110833,0.109380,0.006233,0.103104,0.130125
DNSLINK_IPFS_DNSSEC_OFF,idap_replay_check,30,0.102648,0.101372,0.005814,0.090921,0.121649
DNSLINK_IPFS_DNSSEC_OFF,idap_scenario_total,30,0.238909,0.236256,0.009152,0.220093,0.257641
DNSLINK_IPFS_DNSSEC_OFF,initialize_store,30,0.000005,0.000004,0.000001,0.000004,0.000008
DNSLINK_IPFS_DNSSEC_OFF,publish_identity_c1,30,0.330746,0.195403,0.325143,0.157461,1.068589
DNSLINK_IPFS_DNSSEC_OFF,publish_identity_cp,30,0.423711,0.189723,0.270734,0.157678,0.758747
DNSLINK_IPFS_DNSSEC_OFF,publish_identity_s1,30,0.331857,0.191780,0.327420,0.155983,1.058164
DNSLINK_IPFS_DNSSEC_OFF,publish_identity_sp,30,0.386782,0.196747,0.364332,0.161327,1.051166
DNSLINK_IPFS_DNSSEC_OFF,publish_provider_registry,30,0.184450,0.184319,0.014573,0.157228,0.227863
DNSLINK_IPFS_DNSSEC_OFF,publish_scenario_total,30,1.839593,1.946370,0.478804,1.018141,2.607626
DNSLINK_IPFS_DNSSEC_OFF,publish_service_metadata,30,0.182046,0.181214,0.012895,0.153144,0.220605
DNSLINK_IPFS_DNSSEC_OFF,resolve_service_public_key,30,0.024576,0.024216,0.001797,0.022127,0.029255
DNSLINK_IPFS_DNSSEC_OFF,startup_scenario_total,30,0.002918,0.002801,0.000549,0.002639,0.005766
DNSLINK_IPFS_DNSSEC_OFF,tampered_request_sign,30,0.000200,0.000198,0.000013,0.000176,0.000248
DNSLINK_IPFS_DNSSEC_OFF,tampering_check,30,0.093907,0.092792,0.003868,0.088427,0.104999
DNSLINK_IPFS_DNSSEC_OFF,tampering_scenario_total,30,0.094107,0.092997,0.003867,0.088622,0.105212
DNSLINK_IPFS_DNSSEC_OFF,total_flow,30,2.249889,2.354050,0.485837,1.388007,3.013552
DNSLINK_IPFS_DNSSEC_OFF,transcript_verify,30,0.000263,0.000251,0.000067,0.000228,0.000614
DNSLINK_IPFS_DNSSEC_ON,broker_discovery,30,0.034546,0.032320,0.008479,0.021130,0.052159
DNSLINK_IPFS_DNSSEC_ON,canonical_request_payload,30,0.000021,0.000020,0.000007,0.000011,0.000040
DNSLINK_IPFS_DNSSEC_ON,client_ephemeral_public_key,30,0.000006,0.000006,0.000002,0.000004,0.000010
DNSLINK_IPFS_DNSSEC_ON,client_request_sign,30,0.000382,0.000357,0.000109,0.000219,0.000663
DNSLINK_IPFS_DNSSEC_ON,client_session_init,30,0.000200,0.000178,0.000065,0.000110,0.000389
DNSLINK_IPFS_DNSSEC_ON,client_session_key_derivation,30,0.000026,0.000023,0.000008,0.000014,0.000041
DNSLINK_IPFS_DNSSEC_ON,client_shared_secret_derivation,30,0.000315,0.000301,0.000088,0.000159,0.000515
DNSLINK_IPFS_DNSSEC_ON,compute_transcript,30,0.000035,0.000030,0.000016,0.000015,0.000085
DNSLINK_IPFS_DNSSEC_ON,crypto_scenario_total,30,0.000048,0.000040,0.000016,0.000026,0.000102
DNSLINK_IPFS_DNSSEC_ON,dap_create_capability,30,0.000862,0.000752,0.000267,0.000512,0.001540
DNSLINK_IPFS_DNSSEC_ON,dap_encrypt_enc_cap,30,0.000975,0.000777,0.000622,0.000514,0.003463
DNSLINK_IPFS_DNSSEC_ON,dap_scenario_total,30,0.001837,0.001515,0.000835,0.001026,0.004777
DNSLINK_IPFS_DNSSEC_ON,decrypt_message,30,0.000013,0.000011,0.000008,0.000006,0.000048
DNSLINK_IPFS_DNSSEC_ON,discovery_scenario_total,30,0.034546,0.032320,0.008479,0.021130,0.052159
DNSLINK_IPFS_DNSSEC_ON,encrypt_message,30,0.000035,0.000029,0.000014,0.000019,0.000085
DNSLINK_IPFS_DNSSEC_ON,generate_identity_c1,30,0.000178,0.000174,0.000008,0.000168,0.000198
DNSLINK_IPFS_DNSSEC_ON,generate_identity_cp,30,0.002133,0.002105,0.000093,0.002017,0.002477
DNSLINK_IPFS_DNSSEC_ON,generate_identity_s1,30,0.000177,0.000180,0.000006,0.000167,0.000187
DNSLINK_IPFS_DNSSEC_ON,generate_identity_sp,30,0.000180,0.000176,0.000009,0.000170,0.000209
DNSLINK_IPFS_DNSSEC_ON,idap_authorize,30,0.056671,0.054498,0.010395,0.042485,0.078879
DNSLINK_IPFS_DNSSEC_ON,idap_replay_check,30,0.055640,0.052704,0.010014,0.041556,0.075532
DNSLINK_IPFS_DNSSEC_ON,idap_scenario_total,30,0.128317,0.121878,0.021694,0.095139,0.170666
DNSLINK_IPFS_DNSSEC_ON,initialize_store,30,0.000004,0.000005,0.000000,0.000004,0.000005
DNSLINK_IPFS_DNSSEC_ON,publish_identity_c1,30,0.386384,0.191806,0.367253,0.161697,1.055866
DNSLINK_IPFS_DNSSEC_ON,publish_identity_cp,30,0.432275,0.551723,0.187562,0.151421,0.597614
DNSLINK_IPFS_DNSSEC_ON,publish_identity_s1,30,0.505256,0.207377,0.417873,0.169736,1.062824
DNSLINK_IPFS_DNSSEC_ON,publish_identity_sp,30,0.187026,0.191585,0.013843,0.156190,0.206316
DNSLINK_IPFS_DNSSEC_ON,publish_provider_registry,30,0.186705,0.186033,0.011454,0.168046,0.220099
DNSLINK_IPFS_DNSSEC_ON,publish_scenario_total,30,1.889752,1.987443,0.456272,1.062907,2.421589
DNSLINK_IPFS_DNSSEC_ON,publish_service_metadata,30,0.192107,0.192196,0.016912,0.156387,0.227006
