backend,operation,count,mean_sec,median_sec,std_sec,min_sec,max_sec
DNSLINK_IPFS,broker_discovery,31,0.045474,0.033027,0.058337,0.022864,0.356016
DNSLINK_IPFS,canonical_request_payload,31,0.000014,0.000013,0.000005,0.000010,0.000025
DNSLINK_IPFS,client_ephemeral_public_key,31,0.000003,0.000003,0.000001,0.000002,0.000006
DNSLINK_IPFS,client_request_sign,31,0.000209,0.000195,0.000031,0.000172,0.000308
DNSLINK_IPFS,client_session_init,31,0.000108,0.000101,0.000020,0.000087,0.000189
DNSLINK_IPFS,client_session_key_derivation,31,0.000032,0.000026,0.000020,0.000020,0.000119
DNSLINK_IPFS,client_shared_secret_derivation,31,0.000178,0.000170,0.000018,0.000155,0.000241
DNSLINK_IPFS,compute_transcript,31,0.000037,0.000033,0.000014,0.000024,0.000091
DNSLINK_IPFS,crypto_scenario_total,31,0.000033,0.000030,0.000013,0.000024,0.000086
DNSLINK_IPFS,dap_create_capability,31,0.000853,0.000720,0.000572,0.000614,0.003859
DNSLINK_IPFS,dap_encrypt_enc_cap,31,0.000671,0.000529,0.000425,0.000432,0.002234
DNSLINK_IPFS,dap_scenario_total,31,0.001524,0.001267,0.000789,0.001058,0.004894
DNSLINK_IPFS,decrypt_message,31,0.000007,0.000006,0.000004,0.000005,0.000025
DNSLINK_IPFS,discovery_scenario_total,31,0.045474,0.033027,0.058337,0.022864,0.356016
DNSLINK_IPFS,encrypt_message,31,0.000026,0.000024,0.000009,0.000019,0.000066
DNSLINK_IPFS,generate_identity_c1,31,0.000291,0.000183,0.000519,0.000165,0.003070
DNSLINK_IPFS,generate_identity_cp,31,0.003539,0.002493,0.003821,0.002167,0.021736
DNSLINK_IPFS,generate_identity_s1,31,0.000236,0.000181,0.000226,0.000163,0.001391
DNSLINK_IPFS,generate_identity_sp,31,0.000233,0.000194,0.000141,0.000175,0.000937
DNSLINK_IPFS,idap_authorize,31,0.069123,0.066289,0.015095,0.050744,0.109436
DNSLINK_IPFS,idap_replay_check,31,0.069141,0.065423,0.018723,0.049754,0.123499
DNSLINK_IPFS,idap_scenario_total,31,0.155682,0.150973,0.028566,0.119771,0.224601
DNSLINK_IPFS,initialize_store,31,0.000005,0.000004,0.000002,0.000003,0.000014
DNSLINK_IPFS,publish_identity_c1,31,0.105871,0.039690,0.246487,0.030741,1.030000
DNSLINK_IPFS,publish_identity_cp,31,0.403922,0.588818,0.301179,0.042494,0.726001
DNSLINK_IPFS,publish_identity_s1,31,0.142824,0.044405,0.293533,0.031103,1.023201
DNSLINK_IPFS,publish_identity_sp,31,0.042855,0.041133,0.009526,0.031629,0.076286
DNSLINK_IPFS,publish_provider_registry,31,0.038541,0.037444,0.007590,0.025678,0.056450
DNSLINK_IPFS,publish_scenario_total,31,0.839013,0.854199,0.632451,0.213964,1.991983
DNSLINK_IPFS,publish_service_metadata,31,0.104999,0.042578,0.244189,0.029281,1.019463
DNSLINK_IPFS,resolve_service_public_key,31,0.016551,0.014716,0.006653,0.010403,0.040263
DNSLINK_IPFS,startup_scenario_total,31,0.004303,0.003055,0.003864,0.002714,0.022249
DNSLINK_IPFS,tampered_request_sign,31,0.000206,0.000197,0.000026,0.000175,0.000301
DNSLINK_IPFS,tampering_check,31,0.064365,0.059819,0.019489,0.046983,0.135311
DNSLINK_IPFS,tampering_scenario_total,31,0.064571,0.060014,0.019496,0.047175,0.135501
DNSLINK_IPFS,total_flow,31,1.113715,1.096898,0.613165,0.430876,2.280231
DNSLINK_IPFS,transcript_verify,31,0.000287,0.000260,0.000089,0.000225,0.000675
IPFS,broker_discovery,32,0.023388,0.022378,0.007827,0.009608,0.044070
IPFS,canonical_request_payload,32,0.000020,0.000018,0.000008,0.000009,0.000046
IPFS,client_ephemeral_public_key,32,0.000022,0.000007,0.000056,0.000003,0.000305
IPFS,client_request_sign,32,0.000358,0.000326,0.000116,0.000190,0.000736
IPFS,client_session_init,32,0.000350,0.000187,0.000572,0.000095,0.003293
IPFS,client_session_key_derivation,32,0.000105,0.000034,0.000286,0.000018,0.001626
IPFS,client_shared_secret_derivation,32,0.000246,0.000235,0.000059,0.000157,0.000374
IPFS,compute_transcript,32,0.000024,0.000023,0.000006,0.000014,0.000036
IPFS,crypto_scenario_total,32,0.000043,0.000038,0.000023,0.000022,0.000151
IPFS,dap_create_capability,32,0.017380,0.018848,0.009810,0.001181,0.034131
IPFS,dap_encrypt_enc_cap,32,0.010440,0.011993,0.005865,0.000758,0.023341
IPFS,dap_scenario_total,32,0.027820,0.031195,0.014853,0.002065,0.051558
IPFS,decrypt_message,32,0.000011,0.000009,0.000012,0.000005,0.000076
IPFS,discovery_scenario_total,32,0.023388,0.022378,0.007827,0.009608,0.044070
IPFS,encrypt_message,32,0.000032,0.000029,0.000013,0.000016,0.000076
IPFS,generate_identity_c1,32,0.000179,0.000176,0.000007,0.000172,0.000194
IPFS,generate_identity_cp,32,0.006113,0.005824,0.002665,0.002656,0.013187
IPFS,generate_identity_s1,32,0.000179,0.000173,0.000012,0.000170,0.000223
IPFS,generate_identity_sp,32,0.000192,0.000188,0.000012,0.000181,0.000229
IPFS,idap_authorize,32,0.024125,0.024049,0.005134,0.016858,0.035504
IPFS,idap_replay_check,32,0.013722,0.014217,0.003148,0.007694,0.020705
IPFS,idap_scenario_total,32,0.042858,0.042565,0.007980,0.028934,0.061253
IPFS,initialize_store,32,0.000130,0.000120,0.000046,0.000071,0.000325
IPFS,publish_identity_c1,32,26.660551,25.490058,18.158285,3.352554,70.989930
IPFS,publish_identity_cp,32,38.252678,39.333762,26.061507,6.820319,82.427143
IPFS,publish_identity_s1,32,31.607525,31.926714,24.704376,3.528056,92.396447
IPFS,publish_identity_sp,32,30.996674,28.186956,23.847505,4.727510,94.212488
IPFS,publish_provider_registry,32,30.499431,20.992258,24.281647,5.737883,99.983482
IPFS,publish_scenario_total,32,191.871050,182.815421,72.110795,83.019337,327.065450
IPFS,publish_service_metadata,32,33.854190,32.720515,28.015573,4.346048,130.308096
IPFS,resolve_service_public_key,32,0.003547,0.002679,0.002840,0.001532,0.017174
IPFS,startup_scenario_total,32,0.006793,0.006486,0.002675,0.003272,0.013912
IPFS,tampered_request_sign,32,0.000314,0.000292,0.000129,0.000191,0.000883
IPFS,tampering_check,32,0.013638,0.011761,0.006638,0.008061,0.044683
IPFS,tampering_scenario_total,32,0.013952,0.012127,0.006654,0.008253,0.044898
IPFS,total_flow,32,191.994274,182.906013,72.114963,83.113386,327.197993
IPFS,transcript_verify,32,0.000340,0.000315,0.000097,0.000209,0.000624
KNOT_DNS,broker_discovery,31,0.050757,0.044424,0.030423,0.024322,0.184626
KNOT_DNS,canonical_request_payload,31,0.000019,0.000015,0.000009,0.000010,0.000042
KNOT_DNS,client_ephemeral_public_key,31,0.000006,0.000004,0.000007,0.000002,0.000035
KNOT_DNS,client_request_sign,31,0.000243,0.000216,0.000075,0.000192,0.000562
KNOT_DNS,client_session_init,31,0.000119,0.000103,0.000041,0.000093,0.000297
KNOT_DNS,client_session_key_derivation,31,0.000038,0.000031,0.000026,0.000023,0.000165
KNOT_DNS,client_shared_secret_derivation,31,0.000197,0.000178,0.000065,0.000165,0.000507
KNOT_DNS,compute_transcript,31,0.000055,0.000045,0.000031,0.000037,0.000195
KNOT_DNS,crypto_scenario_total,31,0.000049,0.000036,0.000032,0.000026,0.000182
KNOT_DNS,dap_create_capability,31,0.000952,0.000860,0.000293,0.000638,0.001863
KNOT_DNS,dap_encrypt_enc_cap,31,0.000744,0.000590,0.000387,0.000457,0.001878
KNOT_DNS,dap_scenario_total,31,0.001696,0.001415,0.000580,0.001110,0.003204
KNOT_DNS,decrypt_message,31,0.000010,0.000006,0.000008,0.000006,0.000036
KNOT_DNS,discovery_scenario_total,31,0.050757,0.044424,0.030423,0.024322,0.184626
KNOT_DNS,encrypt_message,31,0.000039,0.000030,0.000025,0.000020,0.000145
KNOT_DNS,generate_identity_c1,31,0.000208,0.000183,0.000121,0.000178,0.000860
KNOT_DNS,generate_identity_cp,31,0.003359,0.002514,0.002213,0.002306,0.011824
KNOT_DNS,generate_identity_s1,31,0.000212,0.000181,0.000101,0.000177,0.000716
KNOT_DNS,generate_identity_sp,31,0.000222,0.000197,0.000095,0.000188,0.000708
KNOT_DNS,idap_authorize,31,0.084352,0.077263,0.023162,0.054921,0.148291
KNOT_DNS,idap_replay_check,31,0.071404,0.067245,0.014869,0.051448,0.120397
KNOT_DNS,idap_scenario_total,31,0.175000,0.169582,0.028847,0.131050,0.231327
KNOT_DNS,initialize_store,31,0.000004,0.000004,0.000001,0.000003,0.000009
KNOT_DNS,publish_identity_c1,31,0.028822,0.025571,0.012212,0.015315,0.066749
KNOT_DNS,publish_identity_cp,31,0.301350,0.068482,0.309923,0.022313,0.715462
KNOT_DNS,publish_identity_s1,31,0.030995,0.025341,0.018696,0.016146,0.112440
KNOT_DNS,publish_identity_sp,31,0.069239,0.028783,0.181169,0.018671,1.037851
KNOT_DNS,publish_provider_registry,31,0.223037,0.058764,0.383395,0.033814,1.095934
KNOT_DNS,publish_scenario_total,31,0.774725,0.810753,0.620798,0.154940,1.908901
KNOT_DNS,publish_service_metadata,31,0.121282,0.050759,0.256832,0.033716,1.111848
KNOT_DNS,resolve_service_public_key,31,0.018268,0.016740,0.006043,0.011308,0.043766
KNOT_DNS,startup_scenario_total,31,0.004005,0.003086,0.002303,0.002861,0.012383
KNOT_DNS,tampered_request_sign,31,0.000232,0.000209,0.000084,0.000199,0.000578
KNOT_DNS,tampering_check,31,0.073747,0.067522,0.015354,0.057168,0.122783
KNOT_DNS,tampering_scenario_total,31,0.073979,0.067721,0.015381,0.057377,0.122998
KNOT_DNS,total_flow,31,1.084519,1.084554,0.638754,0.450584,2.404143
KNOT_DNS,transcript_verify,31,0.000299,0.000268,0.000097,0.000249,0.000663
